ID,Team1,Team2,Team1 Seed,Team2 Seed,Team1Conf,Team2Conf,Seed1,Seed2
2019_1101_1113,1101,1113,Y15,X11,Y,X,15,11
2019_1101_1120,1101,1120,Y15,Y05,Y,Y,15,5
2019_1101_1124,1101,1124,Y15,X09,Y,X,15,9
2019_1101_1125,1101,1125,Y15,W11,Y,W,15,11
2019_1101_1133,1101,1133,Y15,W15,Y,W,15,15
2019_1101_1138,1101,1138,Y15,X06,Y,X,15,6
2019_1101_1153,1101,1153,Y15,Z07,Y,Z,15,7
2019_1101_1159,1101,1159,Y15,Z15,Y,Z,15,15
2019_1101_1181,1101,1181,Y15,W01,Y,W,15,1
2019_1101_1192,1101,1192,Y15,X16,Y,X,15,16
2019_1101_1196,1101,1196,Y15,X10,Y,X,15,10
2019_1101_1199,1101,1199,Y15,X04,Y,X,15,4
2019_1101_1205,1101,1205,Y15,Z16,Y,Z,15,16
2019_1101_1209,1101,1209,Y15,Y14,Y,Y,15,14
2019_1101_1211,1101,1211,Y15,X01,Y,X,15,1
2019_1101_1222,1101,1222,Y15,Y03,Y,Y,15,3
2019_1101_1233,1101,1233,Y15,Y16,Y,Y,15,16
2019_1101_1234,1101,1234,Y15,Z10,Y,Z,15,10
2019_1101_1235,1101,1235,Y15,Y06,Y,Y,15,6
2019_1101_1242,1101,1242,Y15,Y04,Y,Y,15,4
2019_1101_1243,1101,1243,Y15,Z04,Y,Z,15,4
2019_1101_1246,1101,1246,Y15,Y02,Y,Y,15,2
2019_1101_1251,1101,1251,Y15,W12,Y,W,15,12
2019_1101_1257,1101,1257,Y15,W07,Y,W,15,7
2019_1101_1261,1101,1261,Y15,W03,Y,W,15,3
2019_1101_1266,1101,1266,Y15,X05,Y,X,15,5
2019_1101_1268,1101,1268,Y15,W06,Y,W,15,6
2019_1101_1276,1101,1276,Y15,X02,Y,X,15,2
2019_1101_1277,1101,1277,Y15,W02,Y,W,15,2
2019_1101_1278,1101,1278,Y15,W10,Y,W,15,10
2019_1101_1279,1101,1279,Y15,Z08,Y,Z,15,8
2019_1101_1280,1101,1280,Y15,W05,Y,W,15,5
2019_1101_1285,1101,1285,Y15,X15,Y,X,15,15
2019_1101_1293,1101,1293,Y15,X12,Y,X,15,12
2019_1101_1295,1101,1295,Y15,W16,Y,W,15,16
2019_1101_1297,1101,1297,Y15,X14,Y,X,15,14
2019_1101_1300,1101,1300,Y15,W16,Y,W,15,16
2019_1101_1305,1101,1305,Y15,X07,Y,X,15,7
2019_1101_1308,1101,1308,Y15,Y12,Y,Y,15,12
2019_1101_1314,1101,1314,Y15,Y01,Y,Y,15,1
2019_1101_1318,1101,1318,Y15,Y13,Y,Y,15,13
2019_1101_1326,1101,1326,Y15,Y11,Y,Y,15,11
2019_1101_1328,1101,1328,Y15,Z09,Y,Z,15,9
2019_1101_1330,1101,1330,Y15,Z14,Y,Z,15,14
2019_1101_1332,1101,1332,Y15,Z12,Y,Z,15,12
2019_1101_1341,1101,1341,Y15,X16,Y,X,15,16
2019_1101_1345,1101,1345,Y15,Z03,Y,Z,15,3
2019_1101_1371,1101,1371,Y15,Y10,Y,Y,15,10
2019_1101_1385,1101,1385,Y15,X11,Y,X,15,11
2019_1101_1387,1101,1387,Y15,W13,Y,W,15,13
2019_1101_1388,1101,1388,Y15,Z11,Y,Z,15,11
2019_1101_1393,1101,1393,Y15,X08,Y,X,15,8
2019_1101_1396,1101,1396,Y15,W11,Y,W,15,11
2019_1101_1397,1101,1397,Y15,Z02,Y,Z,15,2
2019_1101_1403,1101,1403,Y15,X03,Y,X,15,3
2019_1101_1414,1101,1414,Y15,Z13,Y,Z,15,13
2019_1101_1416,1101,1416,Y15,W09,Y,W,15,9
2019_1101_1429,1101,1429,Y15,Y08,Y,Y,15,8
2019_1101_1433,1101,1433,Y15,W08,Y,W,15,8
2019_1101_1436,1101,1436,Y15,X13,Y,X,15,13
2019_1101_1437,1101,1437,Y15,Z06,Y,Z,15,6
2019_1101_1438,1101,1438,Y15,Z01,Y,Z,15,1
2019_1101_1439,1101,1439,Y15,W04,Y,W,15,4
2019_1101_1449,1101,1449,Y15,Y09,Y,Y,15,9
2019_1101_1458,1101,1458,Y15,Z05,Y,Z,15,5
2019_1101_1459,1101,1459,Y15,Y07,Y,Y,15,7
2019_1101_1463,1101,1463,Y15,W14,Y,W,15,14
2019_1113_1120,1113,1120,X11,Y05,X,Y,11,5
2019_1113_1124,1113,1124,X11,X09,X,X,11,9
2019_1113_1125,1113,1125,X11,W11,X,W,11,11
2019_1113_1133,1113,1133,X11,W15,X,W,11,15
2019_1113_1138,1113,1138,X11,X06,X,X,11,6
2019_1113_1153,1113,1153,X11,Z07,X,Z,11,7
2019_1113_1159,1113,1159,X11,Z15,X,Z,11,15
2019_1113_1181,1113,1181,X11,W01,X,W,11,1
2019_1113_1192,1113,1192,X11,X16,X,X,11,16
2019_1113_1196,1113,1196,X11,X10,X,X,11,10
2019_1113_1199,1113,1199,X11,X04,X,X,11,4
2019_1113_1205,1113,1205,X11,Z16,X,Z,11,16
2019_1113_1209,1113,1209,X11,Y14,X,Y,11,14
2019_1113_1211,1113,1211,X11,X01,X,X,11,1
2019_1113_1222,1113,1222,X11,Y03,X,Y,11,3
2019_1113_1233,1113,1233,X11,Y16,X,Y,11,16
2019_1113_1234,1113,1234,X11,Z10,X,Z,11,10
2019_1113_1235,1113,1235,X11,Y06,X,Y,11,6
2019_1113_1242,1113,1242,X11,Y04,X,Y,11,4
2019_1113_1243,1113,1243,X11,Z04,X,Z,11,4
2019_1113_1246,1113,1246,X11,Y02,X,Y,11,2
2019_1113_1251,1113,1251,X11,W12,X,W,11,12
2019_1113_1257,1113,1257,X11,W07,X,W,11,7
2019_1113_1261,1113,1261,X11,W03,X,W,11,3
2019_1113_1266,1113,1266,X11,X05,X,X,11,5
2019_1113_1268,1113,1268,X11,W06,X,W,11,6
2019_1113_1276,1113,1276,X11,X02,X,X,11,2
2019_1113_1277,1113,1277,X11,W02,X,W,11,2
2019_1113_1278,1113,1278,X11,W10,X,W,11,10
2019_1113_1279,1113,1279,X11,Z08,X,Z,11,8
2019_1113_1280,1113,1280,X11,W05,X,W,11,5
2019_1113_1285,1113,1285,X11,X15,X,X,11,15
2019_1113_1293,1113,1293,X11,X12,X,X,11,12
2019_1113_1295,1113,1295,X11,W16,X,W,11,16
2019_1113_1297,1113,1297,X11,X14,X,X,11,14
2019_1113_1300,1113,1300,X11,W16,X,W,11,16
2019_1113_1305,1113,1305,X11,X07,X,X,11,7
2019_1113_1308,1113,1308,X11,Y12,X,Y,11,12
2019_1113_1314,1113,1314,X11,Y01,X,Y,11,1
2019_1113_1318,1113,1318,X11,Y13,X,Y,11,13
2019_1113_1326,1113,1326,X11,Y11,X,Y,11,11
2019_1113_1328,1113,1328,X11,Z09,X,Z,11,9
2019_1113_1330,1113,1330,X11,Z14,X,Z,11,14
2019_1113_1332,1113,1332,X11,Z12,X,Z,11,12
2019_1113_1341,1113,1341,X11,X16,X,X,11,16
2019_1113_1345,1113,1345,X11,Z03,X,Z,11,3
2019_1113_1371,1113,1371,X11,Y10,X,Y,11,10
2019_1113_1385,1113,1385,X11,X11,X,X,11,11
2019_1113_1387,1113,1387,X11,W13,X,W,11,13
2019_1113_1388,1113,1388,X11,Z11,X,Z,11,11
2019_1113_1393,1113,1393,X11,X08,X,X,11,8
2019_1113_1396,1113,1396,X11,W11,X,W,11,11
2019_1113_1397,1113,1397,X11,Z02,X,Z,11,2
2019_1113_1403,1113,1403,X11,X03,X,X,11,3
2019_1113_1414,1113,1414,X11,Z13,X,Z,11,13
2019_1113_1416,1113,1416,X11,W09,X,W,11,9
2019_1113_1429,1113,1429,X11,Y08,X,Y,11,8
2019_1113_1433,1113,1433,X11,W08,X,W,11,8
2019_1113_1436,1113,1436,X11,X13,X,X,11,13
2019_1113_1437,1113,1437,X11,Z06,X,Z,11,6
2019_1113_1438,1113,1438,X11,Z01,X,Z,11,1
2019_1113_1439,1113,1439,X11,W04,X,W,11,4
